ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Type,Product_Class,Defrost_Type,Compact,Built-in,Height_Inches,Width_Inches,Capacity_Volume,Adjusted_Volume,Estimated_Annual_Energy_Use,US_Federal_Standard_Energy_Use,Date_Available,Date_Certified,Markets,CB_Model_Identifier,
2263415,Maytag,MFT2776FE***,,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,70.1,35.7,26.8,32.7,709,778,4/1/2016,3/24/2016,"United States, Canada",ES_0022856_MFT2776FE***03302016013641_70071754,No
2234542,Maytag,MFT2778EE***,,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,70.1,35.7,26.8,32.7,709,778,3/16/2015,3/11/2015,"United States, Canada",ES_0022856_MFT2778EE***_03112015070211_70026581,No
2296649,MC Appliance,HMCR440WE,"HMCR440BE,HMCR440BE,; HMCR440ME,HMCR440ME,; HMCR440RE,HMCR440RE,",Compact,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,36.1,19.3,4.4,4.4,228,254,11/1/2017,5/25/2017,"United States, Canada",ES_1107227_HMCR440WE_05262017023820_6300438,No
2297512,Meile,KFN 15943 D,,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,79.5,29.4,16,19.3,410,488,5/29/2017,6/9/2017,"United States, Canada",ES_31629_KFN 15943 D_06132017025112_70142355,Yes
2244338,MicroChill,MCH26G15,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,27.3,19.1,2.6,2.6,250,283,8/1/2015,6/24/2015,"United States, Canada",ES_1114425_MCH26G15_06112015041601_70034670,No
2217128,MicroChill,MCH3G14,"Refrigerator-Freezer,MCH3G14SS,",Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33,18.5,3.1,3.8,240,358,8/15/2014,8/6/2014,"United States, Canada",ES_1114425_MCH3G14_08062014204345_7825876,No
2296252,MicroChill,MCH43G17,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,43.4,20,4.3,5.2,329,367,5/18/2017,5/18/2017,"United States, Canada",ES_1107227_MCH43G17_05172017115047_70134708,No
2234665,MicroFridge,10.3LMF4-9D1,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,3/2/2015,"United States, Canada",ES_0092273_10.3LMF4-9D1_03122015025156_70025705,Yes
2234667,MicroFridge,10.3LMF4-9D1W,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,3/2/2015,"United States, Canada",ES_0092273_10.3LMF4-9D1W _03122015025156_70025705,Yes
2234666,MicroFridge,10.3LMF4-9D1WX,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,3/2/2015,"United States, Canada",ES_0092273_10.3LMF4-9D1WX_03122015025156_70025705,Yes
