Brand_Name_s__s,Product_Class_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Friedrich,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",US12D30B,US12D30B,11500.0,1170.0,9.7,9.8,No,No
Friedrich,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",US12D30B-A,US12D30B,11500.0,1170.0,9.7,9.8,No,No
Friedrich,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",US12D30C,US12D30C,11800.0,1110.0,10.5,,No,No
LG,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",LT1016CERY7,LT1016CER,9800.0,920.0,10.6,,No,No
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",CP24G30B-A,CP24G30B,24000.0,2310.0,10.3,,No,No
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",EP12G33B-A,EP12G33B,12000.0,1060.0,11.2,,No,No
Friedrich,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",EP08G11B-A,EP08G11B,7500.0,670.0,11.0,,No,No
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",EP24G33B-A,EP24G33B,23000.0,2340.0,9.8,,No,No
Friedrich,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",US08D10C-A,US08D10C,8000.0,750.0,10.6,,No,No
Friedrich,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",US10D10C-A,US10D10C,9800.0,920.0,10.6,,No,No
Friedrich,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",US10D30C-A,US10D30C,9800.0,920.0,10.6,,No,No
Friedrich,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",US12D10C-A,US12D10C,11800.0,1110.0,10.5,,No,No
LG,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",LT0816CERY7,LT0816CER,8000.0,750.0,10.6,,No,No
LG,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",LW2416HRY7,LW2416HR,23000.0,2340.0,9.8,,No,No
Friedrich,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",UE10D33D,UE10D33D,10000.0,1020.0,9.7,,No,No
Kenmore Elite,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",580.77107710,77107,10000.0,820.0,12.0,,No,No
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1217ERSM,LW1217ER,12000.0,990.0,12.0,,No,No
Kenmore Elite,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",580.77157710,77157,15000.0,1260.0,11.8,,No,No
Kenmore Elite,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",580.77187710,77187,18000.0,1510.0,11.8,,No,No
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW8017ERSM,LW8017ER,8000.0,660.0,12.0,,No,No
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1816ERY7,LW1816ER,18000.0,1510.0,11.8,,No,No
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1216ERY7,LW1216ER,12000.0,990.0,12.0,,No,No
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW8016ERY7,LW8016ER,8000.0,660.0,12.0,,No,No
LG,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",LW8015HR,LW8015HR,7500.0,670.0,11.0,11.2,No,No
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW8015ER,LW8015ER,8000.0,700.0,11.2,11.3,No,No
LG,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",LW5015E,LW5015E,5000.0,440.0,11.0,11.2,No,No
LG,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",LW2515ER,LW2515ER,24500.0,2500.0,9.8,9.8,No,No
LG,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",LW2415HR,LW2415HR,23000.0,2340.0,9.8,9.8,No,No
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1815HR,LW1815HR,18000.0,1600.0,11.1,11.2,No,No
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1815ER,LW1815ER,18000.0,1600.0,11.1,11.2,No,No
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1515ER,LW1515ER,15000.0,1330.0,11.1,11.2,No,No
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1215HR,LW1215HR,12000.0,1060.0,11.2,11.3,No,No
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1215ER,LW1215ER,12000.0,1060.0,11.2,11.3,No,No
LG,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",LT1235HNR,LT1235HNR,11200.0,1140.0,9.7,9.8,No,No
LG,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",LT1215CER,LT1215CER,11500.0,1170.0,9.7,9.8,No,No
LG,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",LT1035HNR,LT1035HNR,10000.0,1020.0,9.7,9.8,No,No
LG,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",LT1035CER,LT1035CER,10000.0,1020.0,9.7,9.8,No,No
LG,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",LT1015CER,LT1015CER,9800.0,1000.0,9.7,9.8,No,No
LG,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",LT1236CER,LT1236CER,11800.0,1110.0,10.5,,No,No
LG,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",LT1036CER,LT1036CER,9800.0,920.0,10.6,,No,No
LG,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",LW6016RT6,LW6016RT6,6000.0,520.0,11.3,,No,No
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1016ER,LW1016ER,10000.0,820.0,12.0,,No,No
LG,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",LT1236HNR,LT1236HNR,11200.0,1140.0,9.7,,No,No
LG,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",LW6016RY6,LW6016RY6,6000.0,520.0,11.3,,No,No
LG,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",LW2416HR,LW2416HR,23000.0,2340.0,9.8,,No,No
LG,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",LW8016HR,LW8016HR,7500.0,670.0,11.0,,No,No
LG,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",LW6016R,LW6016R,6000.0,520.0,11.3,,No,No
Kenmore Elite,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",580.77187710,580.77187710,18000.0,1510.0,11.8,,No,No
Friedrich,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",UE12D33C,UE12D33C,11200.0,1140.0,9.7,9.8,No,No
Friedrich,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",UE08D11C,UE08D11C,8000.0,810.0,9.7,9.8,No,No
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",EP24G33B,EP24G33B,23000.0,2340.0,9.8,9.8,No,No
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",EP12G33B,EP12G33B,12000.0,1060.0,11.2,11.3,No,No
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",CP24G30B,CP24G30B,24000.0,2310.0,10.3,,No,No
Friedrich,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",CP18G30B,CP18G30B,19000.0,1590.0,11.8,,No,No
Friedrich,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",CP18G30A,CP18G30A,18000.0,1600.0,11.1,11.2,No,No
Friedrich,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",CP15G10A,CP15G10A,15000.0,1330.0,11.1,11.2,No,No
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",CP12G10A,CP12G10A,12000.0,1060.0,11.2,11.3,No,No
Kenmore Elite,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",580.7724771,77247,24500.0,2370.0,10.3,,No,No
Kenmore Elite,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",580.7715771,77157,15000.0,1260.0,11.8,,No,No
Kenmore Elite,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",580.7710771,77107,10000.0,820.0,12.0,,No,No
Kenmore Elite,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",580.7708771,77087,8000.0,660.0,12.0,,No,No
Kenmore Elite,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",580.7718771,580.7718771,18000.0,1510.0,11.8,,No,No
Kenmore Elite,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",580.7712771,580.7712771,12000.0,990.0,12.0,,No,No
Kenmore Elite,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",580.7710771,580.7710771,10000.0,820.0,12.0,,No,No
Haier,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",HTWR12XCR,HTWR12XCR,12000.0,1250.0,9.7,,No,No
Haier,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",HWR05XCR,HWR05XCR-L,5000.0,455.0,11.0,,No,No
Haier,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",ESA410R,ESA410R,10000.0,820.0,12.0,,No,No
Haier,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",ESA406R,ESA406R,6000.0,490.0,12.1,,No,No
Haier,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",ESA408N,HWE08XCR,8000.0,710.0,11.2,,No,No
Haier,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",EST10VCP (230V),HTWR10VCR,10000.0,1020.0,9.7,,No,No
Haier,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",ESA418N (230V),HWE18VCR-L,18000.0,1605.0,11.1,,No,No
Haier,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",ESA418N (208V),HWE18VCR-L,17800.0,1590.0,11.1,,No,No
Haier,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",HWR06XCR,HWR06XCR-L,6000.0,535.0,11.0,,No,No
Haier,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",HWR08XCR,HWR08XCR,8000.0,720.0,10.9,,No,No
Haier,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",ESA412R,ESA412R,12000.0,1025.0,12.0,,No,No
Haier,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",ESA424N (230V),HWE24VCR,23950.0,2450.0,9.8,,No,No
Haier,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",ESA415N,HWE15XCR,15000.0,1340.0,11.1,,No,No
Haier,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",ESA410N,HWE10XCR,10000.0,900.0,11.2,,No,No
Haier,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",HWF05XCR,HWF05XCR,5000.0,450.0,11.0,,No,No
Haier,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",ESA405P,ESA405P-L,5100.0,465.0,11.0,,No,No
Haier,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",ESA424N (208V),ESA424N,23200.0,2430.0,9.8,,No,No
Haier,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",ESA408N,ESA408N,8000.0,710.0,11.2,,No,No
Haier,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",HWF05XCP,HWF05XCP-L,5100.0,460.0,11.0,,No,No
Haier,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",EST12XCP,EST12XCP,12000.0,1245.0,9.7,,No,No
Haier,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",EST08XCP,EST08XCP,8000.0,820.0,9.7,,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AET05LV**,AET05LV**,5050.0,450.0,11.1,11.2,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEE08AT**,AEE08AT**,8000.0,725.0,10.9,11.0,No,No
GE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",AEW06LV**,AEL06LVW1,6000.0,540.0,11.0,11.2,No,No
GE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",AEL06LVQ1,AEL06LVQ1,6000.0,540.0,11.0,11.2,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AET05LT**,AER05LT**,5200.0,455.0,11.0,11.4,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEM14AT**,AEW14AT**,14450.0,1290.0,11.1,11.2,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AEM05LV**,AEM05LV**,5200.0,420.0,12.1,12.4,No,No
GE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",AEH06LV**,AEH06LV**,6050.0,490.0,12.1,12.3,No,No
GE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",AEH06LV**,AEM06LV**,6050.0,490.0,12.1,12.3,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEH08LV**,AEL08LV**,8000.0,660.0,12.0,12.1,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEH08LV**,AEM08LV**,8000.0,660.0,12.0,12.1,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEH08LT**,AEH08LT**,8050.0,715.0,11.2,11.3,No,No
GE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",AEM06LT**,AEM06LT**,6050.0,540.0,11.0,11.2,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEW12AT**,AEW12AV**,12100.0,1075.0,11.2,11.3,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEH12AV**,AEH12AV**,12050.0,995.0,12.0,12.1,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEH10AV**,AEH10AV**,10000.0,820.0,12.1,12.2,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEN08LS**,AEN08LS**,8100.0,720.0,10.9,11.3,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEN10AS**,AEN10AS**,10050.0,890.0,10.9,11.3,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEC12AV**,AEC12AV**,12050.0,995.0,12.0,12.1,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AET05LV**,AEL05LV**,5050.0,450.0,11.1,11.2,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AET05LV**,AEV05LV**,5050.0,450.0,11.1,11.2,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AET05LT**,AEW05LT**,5200.0,455.0,11.0,11.4,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AET05LT**,AET05LT**,5200.0,455.0,11.0,11.4,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEH08LV**,AEH08LV**,8000.0,660.0,12.0,12.1,No,No
GE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",AEM06LT**,AEW06LT**,6050.0,540.0,11.0,11.2,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEM14AT**,AEW14AV**,14450.0,1290.0,11.1,11.2,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEW10AT**,AEW10AV**,10100.0,890.0,11.2,11.3,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEH08LT**,AEW08LV**,8050.0,715.0,11.2,11.3,No,No
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJCQ08ACG**,AJCQ08ACG**,8400.0,780.0,10.6,10.7,No,No
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJCQ10DCG**  (230),AJCQ10DCG**,10100.0,940.0,10.6,10.7,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEM24DT** (208),AEW24DV**,23900.0,2430.0,9.8,9.8,No,No
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJCQ10DCG** (208),AJCQ10DCG**,9900.0,920.0,10.6,10.7,No,No
GE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",AJCQ12DCG** (208),AJCQ12DCG**,11800.0,1110.0,10.5,10.6,No,No
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJCQ08ACG**,AJCM08ACG**,8400.0,780.0,10.6,10.7,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEE24DT** (208),AEE24DT**,23600.0,2510.0,9.4,9.4,No,No
GE,"(7) Without reverse cycle, without louvered sides, and 6,000 to 7,999 Btu/h",AJEQ06LCF**,AJEQ06LCF**,6500.0,630.0,10.0,10.3,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEM24DT** (230),AEM24DT**,24200.0,2460.0,9.8,9.8,No,No
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJCQ10ACF**,AJCQ10ACF**,10400.0,1060.0,9.6,9.8,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEM24DT** (208),AEH24DT**,23900.0,2430.0,9.8,9.8,No,No
GE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",AJCM12DCF** (208),AJCM12DCF**,11800.0,1200.0,9.5,9.8,No,No
GE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",AJCM12DCF** (230),AJCM12DCF**,12000.0,1220.0,9.5,9.8,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEH24DV** (208),AEM24DV**,23600.0,2280.0,10.3,10.3,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEH24DV** (230),AEM24DV**,24000.0,2310.0,10.3,10.3,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEM18DT** (208),AEM18DT**,17600.0,1570.0,11.1,11.2,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEH24DV** (208),AEL24DV**,23600.0,2280.0,10.3,10.3,No,No
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJCM10DCF** (230),AJCM10DCF**,10300.0,1050.0,9.6,9.8,No,No
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJCM10ACF**,AJCM10ACF**,10400.0,1060.0,9.6,9.8,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEH24DV** (230),AEL24DV**,24000.0,2310.0,10.3,10.3,No,No
GE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",AJEM12DCF** (208),AJEM12DCF**,11800.0,1220.0,9.6,9.7,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEM18DT** (230),AEW18DT**,18000.0,1600.0,11.1,11.2,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEE12DT** (230),AEE12DT**,11800.0,1070.0,10.9,11.0,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEE12DT** (208),AEE12DT**,11600.0,1050.0,10.9,11.0,No,No
GE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",AJEQ12DCF** (208),AJEQ12DCF**,11800.0,1220.0,9.6,9.7,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEM24DS** (230),AEM24DS**,24200.0,2470.0,9.4,9.8,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEM24DS** (208),AEM24DS**,23900.0,2440.0,9.4,9.8,No,No
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJEQ10DCF** (230),AJEQ10DCF**,10100.0,1030.0,9.6,9.8,No,No
GE,"(7) Without reverse cycle, without louvered sides, and 6,000 to 7,999 Btu/h",AJCQ06LCG**,AJCQ06LCG**,6600.0,590.0,11.0,11.1,No,No
GE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",AJCQ12DCG** (230),AJCQ12DCG**,12000.0,1130.0,10.5,10.6,No,No
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJCQ10ACG**,AJCM10ACG**,10200.0,950.0,10.6,10.7,No,No
GE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",AJCQ12DCG** (208),AJCM12DCG**,11800.0,1110.0,10.5,10.6,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEE18DT** (230),AEE18DT**,17600.0,1630.0,10.7,10.8,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEM24DT** (208),AEM24DT**,23900.0,2430.0,9.8,9.8,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEH24DV** (208),AEH24DV**,23600.0,2280.0,10.3,10.3,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEM18DT** (230),AEH18DT**,18000.0,1600.0,11.1,11.2,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEM18DS** (230),AEM18DS**,18250.0,1630.0,10.7,11.2,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEM18DS** (208),AEM18DS**,17800.0,1590.0,10.7,11.2,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEM18DS** (208),AEH18DS**,17800.0,1590.0,10.7,11.2,No,No
GE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",AEM06LT**,AEH06LT**,6050.0,540.0,11.0,11.2,No,No
GE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",AJCQ12DCF** (230),AJCQ12DCF**,12000.0,1220.0,9.5,9.8,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEW12AT**,AEW12AT**,12100.0,1075.0,11.2,11.3,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AHH10AW**,AHH10AW**,10000.0,820.0,12.0,12.2,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AHH10AW**,AHM10AW**,10000.0,820.0,12.0,12.2,No,No
GE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",AHH06LW**,AHH06LW**,6150.0,505.0,12.1,12.1,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEC12AW**,AEC12AW**,12100.0,1000.0,12.0,12.1,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEC10AW**,AEC10AW**,10200.0,840.0,12.0,12.1,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEH18DV** (230V),AEH18DV**,18000.0,1510.0,11.8,11.9,No,No
GE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",AJCQ12ACF**,AJCQ12ACF**,12000.0,1220.0,9.5,9.8,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AHH18DW** (230),AHM18DW**,18000.0,1510.0,11.8,11.9,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AHR05LW**,AHV05LW**,5050.0,460.0,11.0,11.0,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AHR05LW**,AHR05LW**,5050.0,460.0,11.0,11.0,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEH18DV** (208V),AEH18DV**,17600.0,1480.0,11.8,11.9,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AHH24DW** (208),AHM24DW**,22900.0,2200.0,10.3,10.3,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AHH24DW** (230),AHM24DW**,23500.0,2250.0,10.3,10.3,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AHM05LW**,AHM05LW**,5500.0,450.0,12.1,12.2,No,No
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJCQ09DCF** (208),AJCQ09DCF**,9300.0,950.0,9.6,9.8,No,No
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJCQ09DCF** (230),AJCQ09DCF**,9600.0,980.0,9.6,9.8,No,No
GE,"(7) Without reverse cycle, without louvered sides, and 6,000 to 7,999 Btu/h",AJCQ06LCF**,AJCQ06LCF**,6500.0,620.0,10.0,10.4,No,No
GE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",AJCM08ACF**,AJCM08ACF**,8200.0,840.0,9.6,9.8,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AEY05LV**,AEY05LV**,5050.0,450.0,11.1,11.2,No,No
