Brand_Name_s__s,Product_Class_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
OLMO,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",OW-14HS230V6TW,OW-14HS230V6TW,14000.0,1505.0,9.3,,No,No
OLMO,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",OW-08AC115V5SC,OW-08AC115V5SC,8000.0,754.0,10.6,,No,No
OLMO,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",OW-12AC115V5SC,OW-12AC115V5SC,12000.0,1142.0,10.5,,No,No
OLMO,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",OW-12AC230V5SC,OW-12AC230V5SC,12000.0,1142.0,10.5,,No,No
Westpointe,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",MWDUK-05CMN1-BCK0,MWDUK-05CMN1-BCK0,5000.0,446.0,11.0,,No,No
Westpointe,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWEUK-08CRN1-BCL0,MWEUK-08CRN1-BCL0,8000.0,666.0,12.0,,No,No
Westpointe,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWEUK-10CRN1-BCL0,MWEUK-10CRN1-BCL0,10000.0,833.0,12.0,,No,No
Westpointe,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",MWEUK-15CRN1-BCK8,MWEUK-15CRN1-BCK8,15100.0,1279.0,11.8,,No,No
Westpointe,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",MWEUK-25CRN1-MCJ3,MWEUK-25CRN1-MCJ3,25000.0,2427.0,10.3,,No,No
Westpointe,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWDUJ2-12ERN1-MCJ9,MWDUJ2-12ERN1-MCJ9,12000.0,1100.0,10.9,,No,No
Westpointe,(16) Casement-Slider,MWEUL1-08CRN1-BCK4,MWEUL1-08CRN1-BCK4,8000.0,702.0,11.4,,No,No
Westpointe,(16) Casement-Slider,MWDUL-10CRN1-BCJ4,MWDUL-10CRN1-BCJ4,10000.0,961.0,10.4,,No,No
Westpointe,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",MWEUW2-08CRN1-BCJ6,MWEUW2-08CRN1-BCJ6,8000.0,754.0,10.6,,No,No
Westpointe,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",MWEUW2-12CRN1-MCJ5,MWEUW2-12CRN1-MCJ5,12000.0,1142.0,10.5,,No,No
Garrison,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",2498539(230V),2498539(230V),25000.0,2427.0,10.3,,No,No
Garrison,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",2498541,2498541,10000.0,943.0,10.6,,No,No
Garrison,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",2498543,2498543,12000.0,1142.0,10.5,,No,No
Garrison,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",2498544(230V),2498544(230V),12000.0,1142.0,10.5,,No,No
Garrison,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",2477802(230V),2477802(230V),12000.0,1100.0,10.9,,No,No
Garrison,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",2477803(230V),2477803(230V),18500.0,1729.0,10.7,,No,No
Garrison,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",2477804(230V),2477804(230V),25000.0,2660.0,9.4,,No,No
Garrison,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",2477810(230V),2477810(230V),14000.0,1505.0,9.3,,No,No
Garrison,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",2477813(230V),2477813(230V),12000.0,1263.0,9.5,,No,No
Best Home,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",57H-ID0-05CMN1/BI7,57H-ID0-05CMN1/BI7,5000.0,446.0,11.0,,No,No
Best Home,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",57H-ID0-05CRN1/BI7,57H-ID0-05CRN1/BI7,5000.0,410.0,12.1,,No,No
Best Home,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",57H-ID0-12CRN1/BJ8,57H-ID0-12CRN1/BJ8,12000.0,1000.0,12.0,,No,No
Global Industrial,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",292459,292459,12000.0,1000.0,12.0,,No,No
Global Industrial,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",292458,292458,8000.0,666.0,12.0,,No,No
Global Industrial,(16) Casement-Slider,292461,292461,8000.0,702.0,11.4,,No,No
Global Industrial,(16) Casement-Slider,292312,292312,10000.0,961.0,10.4,,No,No
RCA,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",RACM5000-C-AH,RACM5000-C-AH,5000.0,446.0,11.0,,No,No
RCA,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",RACE1202E-C,RACE1202E-C,12000.0,1100.0,10.9,,No,No
CLASSIC,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",MWDUC24BR2,MWDUC24BR2,22000.0,2135.0,10.3,,No,No
TGM,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",MWDUC06AR3,MWDUC06AR3,6000.0,490.0,12.1,,No,No
Comfort-Aire,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",RADS-51P,RADS-51P,5000.0,410.0,12.1,,No,No
Comfort-Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",RADS-101P,RADS-101P,10000.0,833.0,12.0,,No,No
Comfort-Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",RADS-121P,RADS-121P,12000.0,1000.0,12.0,,No,No
Comfort-Aire,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",RADS-183P,RADS-183P,18000.0,1525.0,11.8,,No,No
Comfort-Aire,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",BG-101P,BG-101P,10000.0,943.0,10.6,,No,No
Comfort-Aire,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",BG-103P,BG-103P,10000.0,943.0,10.6,,No,No
Comfort-Aire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",BG-121P,BG-121P,12000.0,1142.0,10.5,,No,No
Comfort-Aire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",BG-123P,BG-123P,12000.0,1142.0,10.5,,No,No
Costa Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",CEG-081A,CEG-081A,8000.0,734.0,10.9,,No,No
Costa Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",CEG-123A,CEG-123A,12000.0,1100.0,10.9,,No,No
Comfort-Aire,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",BG-143M,BG-143M,14000.0,1505.0,9.3,,No,No
Comfort-Aire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",BGE-123M,BGE-123M,12000.0,1263.0,9.5,,No,No
