ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Type,Defrost_Type,Compact,Built-in,Capacity_Volume,Adjusted_Volume,Estimated_Annual_Energy_Use,US_Federal_Standard_Energy_Use,Date_Available,Date_Certified,Markets,CB_Model_Identifier
2220969,Gallery,FGVU21F8QT*,,Upright Freezer,Automatic,No,No,20.5,36.1,484,539,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_FGVU21F8QT*10012014013337_70012088
2220978,Gallery,FGVU21F8QW*,,Upright Freezer,Automatic,No,No,20.5,36.1,484,539,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_FGVU21F8QW*10012014013337_70012088
2215216,GE,FCM11PH****,,Chest Freezer,Manual,No,No,10.6,18.7,218,244,8/4/2014,6/23/2014,"United States, Canada",ES_1123206_FCM11PH****_06232014030230_2739746
2296149,GE,FCM16DL****,,Chest Freezer,Manual,No,No,15.7,27.6,277,309,6/20/2017,5/12/2017,"United States, Canada",ES_1123206_FCM16DL****_05152017122546_70137740
2296150,GE,FCM22DL****,,Chest Freezer,Manual,No,No,21.7,38.1,346,386,6/20/2017,5/12/2017,"United States, Canada",ES_1123206_FCM22DL****_05152017122546_70137740
2287820,GE,FUF14DL****,,Upright Freezer,Automatic,No,No,14.1,24.8,397,442,4/1/2017,1/5/2017,"United States, Canada",ES_1123206_FUF14DL****_01052017122505_70116313
2287821,GE,FUF17DL****,,Upright Freezer,Automatic,No,No,17.3,30.4,441,490,4/1/2017,1/5/2017,"United States, Canada",ES_1123206_FUF17DL****_01052017122505_70116313
2287822,GE,FUF21DL****,,Upright Freezer,Automatic,No,No,21.3,37.5,495,552,4/1/2017,1/5/2017,"United States, Canada",ES_1123206_FUF21DL****_01052017122505_70116313
2214326,Haier,HF09CM25NW,,Chest Freezer,Manual,No,No,9.6,16.9,204,231,7/15/2014,6/25/2014,"United States, Canada",ES_0031566_HF09CM25NW_06092014034744_2734150
2214325,Haier,HF09****NW,,Chest Freezer,Manual,No,No,9.6,16.9,204,231,7/15/2014,6/25/2014,"United States, Canada",ES_0031566_HF09****NW_06092014034744_2734150
2214328,Haier,HF11CM25NW,,Chest Freezer,Manual,No,No,11.3,19.9,224,253,7/15/2014,6/25/2014,"United States, Canada",ES_0031566_HF11CM25NW_06092014034744_2734150
2214327,Haier,HF11****NW,,Chest Freezer,Manual,No,No,11.3,19.9,224,253,7/15/2014,6/25/2014,"United States, Canada",ES_0031566_HF11****NW_06092014034744_2734150
2253914,Haier,HFC7114BCW,,Chest Freezer,Manual,Yes,No,7.1,12.5,226,252,11/30/2015,11/27/2015,"United States, Canada",ES_0031566_HFC7114BCW_11242015103958_70053817
2253913,Haier,HFC71***CW,,Chest Freezer,Manual,Yes,No,7.1,12.5,226,252,11/30/2015,11/27/2015,"United States, Canada",ES_0031566_HFC71***CW_11242015103958_70053817
2263988,Hisense,FC72D6BWE,,Chest Freezer,Manual,Yes,No,7.2,12.7,228,254,6/1/2016,4/12/2016,United States,ES_1110877_FC72D6BWE_04072016142538_4909326
2237836,IGLOO,FRF110  ,,Upright Freezer,Manual,Yes,No,1.1,1.9,218,242,6/1/2015,4/13/2015,"United States, Canada",ES_1120898_FRF110  _04212015032944_6984976
