ES_ID,Brand_Name,Model_Number,Additional_Model_Information,UPC,Load_Configuration,Additional_Washer_Features,Intended_Market,Volume_CubicFeet,Integrated_Modified_Energy_Factor,US_Federal_IMEF_Standard,Estimated_Annual_Energy_Use,Integrated_Water_Factor (IWF),US_Federal_IWF_Standard,Annual_Water_Use,Connected,Connects_Using,R,S,Paired_Dryer,U,Date_Available,Date_Certified,Markets,CB_Model_Identifier,Meets_ENERGY_STAR_Most_Efficient_2017_Criteria
2256899,Kenmore,592-4968*,,8.87E+11,Front Load,,Residential,4.5,2.8,1.84,110,3,4.7,3956,No,,,,,,1/23/2016,1/11/2016,"United States, Canada",ES_0015649_592-4968*_01112016051357_70058875,Yes
2265091,Kenmore,592-4969*,,8.87E+11,Front Load,,Residential,5,2.92,1.84,105,2.9,4.7,4278,No,,,,No,,5/15/2016,4/21/2016,"United States, Canada",ES_0015649_592-4969*_04202016043835_70075116,Yes
2234426,Kenmore,970L4842****,,12505386213,Front Load,,Residential,3.9,2.52,1.84,96,3,4.7,3452,No,,,,No,,11/1/2014,3/6/2015,"United States, Canada",ES_0015649_970L4842****_03102015013354_70025431,No
2234425,Kenmore,970L4845****,,12505386275,Front Load,,Residential,3.9,2.52,1.84,96,3,4.7,3452,No,,,,No,,11/1/2014,3/6/2015,"United States, Canada",ES_0015649_970L4845****_03102015013354_70025431,No
2234923,Kenmore,970L9742***,,12505386565,Top Load,,Residential,3.8,2.06,1.29,175,4.3,8.4,4820,No,,,,No,,3/19/2015,3/19/2015,Canada,ES_0015649_970L9742***_03192015020957_70027013,No
2234925,Kenmore,970L9752***,,12505386572,Top Load,,Residential,3.8,2.06,1.29,175,4.3,8.4,4820,No,,,,No,,3/19/2015,3/19/2015,Canada,ES_0015649_970L9752***_03192015020957_70027013,No
2232889,LG,WM1377H*,,48231014328,Front Load,,Residential,2.3,2.07,1.84,120,4.2,4.7,2813,No,,,,No,,2/15/2015,2/4/2015,"United States, Canada",ES_1118034_WM1377H*_02092015025017_70022701,No
2290863,LG,WM1388H*,,48231016971,Front Load,,Residential,2.3,2.07,1.84,120,4.2,4.7,2813,No,,,,No,,3/19/2016,2/16/2017,"United States, Canada",ES_1118034_WM1388H*_02162017030113_70117116,No
2248318,LG,WM3050C*,,48231013963,Front Load,,Residential,4,2.67,1.84,100,3.3,4.7,3845,No,,,,No,,9/20/2015,9/21/2015,"United States, Canada",ES_1118034_WM3050C*_09222015052448_70047399,No
2269196,LG,WM3075C*,,1,Front Load,,Residential,4.3,2.85,1.84,90,2.9,4.7,3662,No,,,,No,,6/24/2016,6/1/2016,"United States, Canada",ES_1118034_WM3075C*_06072016120532_70082041,Yes
2286315,LG,WM3085C*,,1,Front Load,,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,No,,,,No,,12/11/2016,12/13/2016,"United States, Canada",ES_1118034_WM3085C*_12152016042333_70113603,Yes
2232208,LG,WM3175C*,,7.72E+11,Front Load,,Residential,4.3,2.85,1.84,90,2.9,4.7,3662,No,,,,No,,1/30/2015,1/30/2015,Canada,ES_1118034_WM3175C*_01312015025807_70021310,Yes
2294726,LG,WM3180C*,,1,Front Load,,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,No,,,,No,,4/17/2017,4/16/2017,"United States, Canada",ES_1118034_WM3180C*_04212017125304_70132174,Yes
2274057,LG,WM3270C*,,1,Front Load,,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,No,,,,No,,7/29/2016,8/2/2016,"United States, Canada",ES_1118034_WM3270C*_08032016031832_70091421,Yes
2274058,LG,WM3275C*,,1,Front Load,,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,No,,,,No,,7/29/2016,8/2/2016,"United States, Canada",ES_1118034_WM3275C*_08032016031832_70091421,Yes
2217706,LG,WM3370H*A,,1,Front Load,,Residential,4.3,2.76,1.84,100,3.2,4.7,4040,No,,,,No,N/A,8/30/2014,4/13/2016,"United States, Canada",ES_1118034_WM3370H*A_08202014020154_2753782,Yes
2232207,LG,WM3475H*A,,7.72E+11,Front Load,,Residential,4.3,2.7,1.84,100,2.9,4.7,3662,No,,,,No,,1/30/2015,1/30/2015,Canada,ES_1118034_WM3475H*A_01312015025807_70021310,No
2232890,LG,WM3570H*A,,1,Front Load,,Residential,4.3,2.76,1.84,100,3.2,4.7,4040,No,,,,No,N/A,2/15/2015,4/13/2016,"United States, Canada",ES_1118034_WM3570H*A_02092015025017_70022701,Yes
2259871,LG,WM3575C*,,48231015974,Front Load,,Residential,4.5,2.83,1.84,90,3.2,4.7,4239,No,,,,No,,2/9/2016,2/2/2016,"United States, Canada",ES_1118034_WM3575C*02092016030815_70061981,Yes
2274059,LG,WM3575C*,,1,Front Load,,Residential,4.5,2.92,1.84,90,3.2,4.7,4239,No,,,,No,,7/28/2016,8/2/2016,"United States, Canada",ES_1118034_WM3575C*_08032016031832_70091421,Yes
2237552,LG,WM3650H**,,1,Front Load,,Residential,4.3,2.38,1.84,105,3.7,4.7,4693,No,,,,No,,4/20/2015,3/31/2015,"United States, Canada",ES_1118034_WM3650H**_04212015061000_70028522,No
2259875,LG,WM3670H*A,,1,Front Load,,Residential,4.5,2.92,1.84,100,3.2,4.7,4220,No,,,,No,,2/9/2016,8/17/2016,"United States, Canada",ES_1118034_WM3670H*A02092016030815_70061981,Yes
2234428,Electrolux,EWFLS70****,,12505382796,Front Load,,Residential,4.3,2.38,1.84,120,3.7,4.7,4693,No,,,,No,,6/1/2010,3/6/2015,"United States, Canada",ES_0015649_EWFLS70****_03102015013354_70025431,No
2304535,Fisher and Paykel,WL4027P1,,8.23E+11,Top Load,,Residential,4,2.28,1.29,136,4.1,8.4,4862,No,,,,No,,10/22/2017,10/4/2017,"United States, Canada",ES_31708_WL4027P1_08242017173300_4112665,No
2300873,Fisher & Paykel,WH2424F1,,8.23E+11,Front Load,Steam Cycle,Residential,2.4,2.09,1.84,80,2.8,4.7,1982,No,,,,No,,7/30/2017,7/4/2017,"United States, Canada",ES_0031566_WH2424F1_07172017043721_70133503,No
2300874,Fisher & Paykel,WH2424P1,,8.23E+11,Front Load,Hand Wash Cycle,Residential,2.4,2.09,1.84,80,2.8,4.7,1982,No,,,,No,,7/30/2017,7/4/2017,"United States, Canada",ES_0031566_WH2424P1_07172017043721_70133503,No
2254030,Fisher & Paykel,WL4027G(+),,1,Top Load,,Residential,4,2.07,1.29,126,4,8.4,4673,No,,,,No,,12/1/2015,12/1/2015,"United States, Australia, New Zealand, Switzerland, Europe, Taiwan, Japan, Canada",ES_31708_WL4027G(+)_12012015222330_8610320,No
2236012,Frigidaire,FFFS5115***,,12505385711,Front Load,,Residential,3.8,2.44,1.84,108,3,4.7,3363,No,,,,No,,8/5/2013,3/6/2015,"United States, Canada",ES_1021080_FFFS5115***_04072015042915_70025431,No
2236010,Frigidaire,FFFW5000***,,12505386022,Front Load,,Residential,3.9,2.52,1.84,96,3,4.7,3452,No,,,,No,,5/1/2014,3/6/2015,"United States, Canada",ES_1021080_FFFW5000***_04072015042915_70025431,No
2236008,Frigidaire,FFFW5100***,,12505385704,Front Load,,Residential,3.9,2.52,1.84,96,3,4.7,3452,No,,,,No,,8/5/2013,3/6/2015,"United States, Canada",ES_1021080_FFFW5100***_04072015042915_70025431,No
2231581,Frigidaire,FFLE3911***,,12505385933,Top Load,,Residential,3.8,2.06,1.29,175,4.3,8.4,4820,No,,,,No,,1/22/2015,12/12/2014,"United States, Canada",ES_1021080_FFLE3911***_01222015114629_70020570,No
2231582,Frigidaire,FFLE39C1***,,12505385940,Top Load,,Residential,3.8,2.06,1.29,175,4.3,8.4,4820,No,,,,No,,1/22/2015,12/12/2014,"United States, Canada",ES_1021080_FFLE39C1***_01222015114629_70020570,No
2231586,Frigidaire,FFLE4033***,,12505385964,Top Load,,Residential,3.8,2.06,1.29,175,4.3,8.4,4820,No,,,,No,,1/22/2015,12/23/2014,"United States, Canada",ES_1021080_FFLE4033***_01222015114629_70020570,No
2231587,Frigidaire,FFLE40C3***,,12505385971,Top Load,,Residential,3.8,2.06,1.29,175,4.3,8.4,4820,No,,,,No,,1/22/2015,12/23/2014,"United States, Canada",ES_1021080_FFLE40C3***_01222015114629_70020570,No
2231583,Frigidaire,FFLG3911***,,12505385957,Top Load,,Residential,3.8,2.06,1.29,175,4.3,8.4,4820,No,,,,No,,1/22/2015,12/12/2014,"United States, Canada",ES_1021080_FFLG3911***_01222015114629_70020570,No
2231588,Frigidaire,FFLG4033***,,12505385988,Top Load,,Residential,3.8,2.06,1.29,175,4.3,8.4,4820,No,,,,No,,1/22/2015,12/23/2014,"United States, Canada",ES_1021080_FFLG4033***_01222015114629_70020570,No
2289499,GE,GFW148S*L***,,8469182418,Front Load,"Gentle Cycle,Steam Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,2.4,2.07,1.84,80,4.2,4.7,2912,No,,,,No,,2/9/2017,1/26/2016,United States,ES_1123206_GFW148S*L***_01272017163000_4600814,No
2266910,GE,GFW400S*K***,,8469182099,Front Load,,Residential,4.1,2.38,1.84,141,3.4,4.7,4112,No,,,,No,,8/1/2016,5/17/2016,"United States, Canada",ES_1123206_GFW400S*K***_05172016194416_4256552,No
2306811,GE,GFW400S*M***,"GFW400S*M***,GFW400SCMWW,",84691826552,Front Load,"Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.1,2.76,1.84,113,3.2,4.7,3852,No,,,,,,12/4/2017,11/27/2017,"United States, Canada",ES_1123206_GFW400S*M***_11272017134821_0501885,Yes
2267112,GE,GFW450S*K***,"GFW450SSKWW,GFW450SSKWW,",8469182020,Front Load,,Residential,4.5,2.66,1.84,131,2.8,4.7,3717,No,,,,No,,8/1/2016,5/19/2016,"United States, Canada",ES_1123206_GFW450S*K***_05192016162257_4977979,No
2267113,GE,GFW450S*K***,",GFW450SPKDG,",8469182021,Front Load,,Residential,4.5,2.66,1.84,131,2.8,4.7,3717,No,,,,No,,8/1/2016,5/19/2016,"United States, Canada",ES_1123206_GFW450S*K***_05192016163152_5512856,No
2306813,GE,GFW450S*M***,",GFW450SPMDG,; ,GFW450SSMWW,",84691826576,Front Load,"Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.5,2.76,1.84,116,3.2,4.7,4220,No,,,,,,12/4/2017,11/27/2017,"United States, Canada",ES_1123206_GFW450S*M***_11272017202142_4102375,Yes
2280844,GE,GFW490R*K***,",GFW480SPKDG,; ,GFW480SPKRR,; ,GFW480SSKWW,; ,GFW490RPKDG,; ,GFW490RPKRR,; ,GFW490RSKWW,"," 08469182026, 08469182022, 08469182024,08469182025, 08469182027, 08469182023",Front Load,,Residential,4.9,2.76,1.84,153,2.8,4.7,4047,No,,,,Yes,"GFD49E**K***
GFD48E**K***
GFD49G**K***
GFD48G**K***",10/3/2016,9/23/2016,United States,ES_1123206_GFW490R*K***_09232016171647_1007026,Yes
2229127,GE,GFWH1200H***,,8469126390,Front Load,"Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,3.6,2.48,1.84,98,2.9,4.7,3054,No,,,,No,,11/19/2014,11/19/2014,"United States, Canada",ES_1123206_GFWS1200H***_12102014083227_2736895,No
2229126,GE,GFWN1100H***,,8469126290,Front Load,"Delayed Start,Hand Wash Cycle",Residential,3.6,2.55,1.84,90,2.9,4.7,3054,No,,,,No,,11/19/2014,11/19/2014,"United States, Canada",ES_1123206_GFWN1100H***_12102014083227_2736895,No
2240284,GE,GFWN1300J***,,8469181397,Front Load,,Residential,4.1,2.61,1.84,86,3.4,4.7,4112,No,,,,No,,6/1/2015,5/26/2015,"United States, Canada",ES_1123206_GFWN1300J***_05272015080448_70033381,No
2240283,GE,GFWN1600J***,,84691813965,Front Load,,Residential,4.3,2.38,1.84,99,3.2,4.7,4059,No,,,,No,,5/1/2015,5/25/2015,"United States, Canada",ES_1123206_GFWN1600J***_05272015080449_70031769,No
2232926,GE,GFWR2700H***,",GFWR2705H***,; ,GFWS2600F***,; GFWR2700H***,GFWR2700H***,",8,Front Load,,Residential,4.5,2.8,1.84,134,3,4.7,3947,No,,,,No,,2/15/2014,2/8/2015,United States,ES_1123206_GFWR2700H***_02102015220640_6000039,Yes
2240438,GE,GFWR2705H***,"GFWR2705H***,GFWR2705H***,",8,Front Load,,Residential,4.5,2.8,1.84,134,3,4.7,3947,No,,,,,,2/15/2014,5/23/2015,United States,ES_1123206_GFWR2705H***_05292015195527_9327707,Yes
2232925,GE,GFWR4800F***,"GFWR4800F***,GFWR4800F***,",8,Front Load,,Residential,4.8,2.92,1.84,132,2.8,4.7,3932,No,,,,No,,2/15/2014,2/8/2015,United States,ES_1123206_GFWR4800F***_02102015220214_5734030,Yes
2240436,GE,GFWR4805F***,"GFWR4805F***,GFWR4805F***,",8,Front Load,,Residential,4.8,2.92,1.84,132,2.8,4.7,3932,No,,,,,,2/15/2014,5/22/2015,United States,ES_1123206_GFWR4805F***_05222015170351_4231906,Yes
2213523,GE,GFWS1700H***,,8469126391,Front Load,"Delayed Start,Sanitize Option,Steam Cycle,Hand Wash Cycle",Residential,4.3,2.65,1.84,131,2.6,4.7,3306,No,,,,No,,6/30/2014,6/18/2014,"United States, Canada",ES_1123206_GFWS1700H***_06232014012757_2736895,No
2213524,GE,GFWS1705H***,,8469126392,Front Load,"Delayed Start,Sanitize Option,Steam Cycle,Hand Wash Cycle",Residential,4.3,2.65,1.84,131,2.6,4.7,3306,No,,,,No,,6/30/2014,6/18/2014,"United States, Canada",ES_1123206_GFWS1705H***_06232014012757_2736895,No
2240439,GE,GFWS2600F***,"GFWS2600F***,GFWS2600F***,",8,Front Load,,Residential,4.5,2.8,1.84,134,3,4.7,3947,No,,,,,,2/15/2014,5/23/2015,United States,ES_1123206_GFWS2600F***_05292015195603_9363637,Yes
2243043,GE,GTW485ASJ***,,8,Top Load,,Residential,4.2,2.06,1.29,152,4.3,8.4,5340,No,,,,No,,7/15/2015,7/10/2015,"United States, Canada",ES_1123206_GTW485ASJ***_07102015200335_8615211,No
2272025,GE,GTW485ASJ2WS,,8469181523,Top Load,,Residential,4.2,2.06,1.29,152,4.3,8.4,5340,No,,,,No,,7/11/2016,7/8/2016,"United States, Canada",ES_1123206_GTW485ASJ2WS_07082016164550_6350535,No
2285931,GE,GTW485ASJ3WS,,8469181523,Top Load,Gentle Cycle,Residential,4.2,2.06,1.29,152,4.3,8.4,5340,No,,,,No,,12/12/2016,12/9/2016,"United States, Canada",ES_1123206_GTW485ASJ3WS_12122016183213_7533056,No
2300602,GE,GTW485ASJ4WS,,84691815235,Top Load,Gentle Cycle,Residential,4.2,2.06,1.29,152,4.3,8.4,5328,No,,,,No,,8/10/2017,7/17/2017,United States,ES_1123206_GTW485ASJ4WS_07172017152347_5027989,No
2271277,GE,GTW485BMK***,,7,Top Load,,Residential,4.2,2.15,1.29,160,4,8.4,4956,No,,,,No,,8/15/2016,6/30/2016,Canada,ES_1123206_GTW485BMK***_06302016170448_6288702,No
2243170,GE,GTW490ACJ***,,8,Top Load,,Residential,4.4,2.07,1.29,133,4.1,8.4,5273,No,,,,No,,7/30/2015,7/10/2015,"United States, Canada",ES_1123206_GTW490ACJ***_07102015223452_7692862,No
2272023,GE,GTW490ACJ2WS,,8469181588,Top Load,,Residential,4.4,2.07,1.29,133,4.1,8.4,5273,No,,,,No,,7/11/2016,7/8/2016,"United States, Canada",ES_1123206_GTW490ACJ2WS_07082016164117_6077407,No
2272024,GE,GTW490ACJ2WW,,8469181201,Top Load,,Residential,4.4,2.07,1.29,133,4.1,8.4,5273,No,,,,No,,7/11/2016,7/8/2016,"United States, Canada",ES_1123206_GTW490ACJ2WW_07082016164138_6098233,No
2285929,GE,GTW490ACJ3WS,,8469181588,Top Load,Gentle Cycle,Residential,4.4,2.07,1.29,133,4.1,8.4,5273,No,,,,No,,12/12/2016,12/9/2016,"United States, Canada",ES_1123206_GTW490ACJ3WS_12122016183244_7564196,No
2285930,GE,GTW490ACJ3WW,,8469181201,Top Load,Gentle Cycle,Residential,4.4,2.07,1.29,133,4.1,8.4,5273,No,,,,No,,12/12/2016,12/9/2016,"United States, Canada",ES_1123206_GTW490ACJ3WW_12122016183306_7586518,No
2300603,GE,GTW490ACJ4WS,",GTW490ACJ4WW,",84691815884,Top Load,Gentle Cycle,Residential,4.4,2.07,1.29,133,4.1,8.4,5322,No,,,,No,,8/10/2017,7/17/2017,United States,ES_1123206_GTW490ACJ4WS_07172017153609_5769395,No
2271281,GE,GTW680BMK,,7,Top Load,,Residential,4.6,2.16,1.29,165,3.4,8.4,4624,No,,,,No,,8/15/2016,6/20/2016,Canada,ES_1123206_GTW680BMK_06302016175609_9369488,No
2300604,GE,GTW680BPL0DG,,84691825722,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,No,,,,Yes,"22,970,242,297,023",6/19/2017,7/26/2017,United States,ES_1123206_GTW680BPL0DG_07262017165842_8322647,No
2243432,GE,GTW680BSJ***,,8,Top Load,,Residential,4.6,2.08,1.29,143,3.6,8.4,4906,No,,,,Yes,,7/15/2015,7/15/2015,"United States, Canada",ES_1123206_GTW680BSJ***_07162015225809_7489368,No
2272026,GE,GTW680BSJ3WS,,8469181078,Top Load,,Residential,4.6,2.08,1.29,143,3.6,8.4,4906,No,,,,Yes,"ES_1123206_GTD65EB*J***_08242015154618_1178596, ES_1123206_GTD65GB*J***_08242015155701_1821764",7/11/2016,7/8/2016,"United States, Canada",ES_1123206_GTW680BSJ3WS_07082016164816_6496700,No
2285932,GE,GTW680BSJ5WS,,8469181078,Top Load,Gentle Cycle,Residential,4.6,2.08,1.29,143,3.6,8.4,4906,No,,,,Yes,"2246396
2246397",5/1/2017,4/26/2017,United States,ES_1123206_GTW680BSJ4WS_12122016184150_8110488,No
2295635,GE,GTW685B*L***,",GTW685BPLDG,Color - Diamond Gray, UPC - 084691825739; ,GTW685BSLWS,Color - White / Silver, UPC - 084691825609","84691825609, 084691825739",Top Load,"Delayed Start,Sanitize Option",Residential,4.5,2.06,1.29,150,4.3,8.4,5683,No,,,,Yes,"2246396, 2246397",5/3/2017,4/26/2017,United States,ES_1123206_GTW685B*L***_05082017184751_9271148,No
2296553,GE,GTW750C*L***,",GTW750CPLDG,Color: Diamond Gray UPC: 084691825746; ,GTW750CSLWS,Color: White / Silver, UPC: 084691825623","84,691,825,746,084,600,000,000",Top Load,"Gentle Cycle,Sanitize Option,Delayed Start",Residential,5,2.06,1.29,176,4.3,8.4,6381,No,,,,Yes," 2297012, 2296977,2296978, 2297011",5/30/2017,5/24/2017,"United States, Canada",ES_1123206_GTW750C*L***_05242017160757_2077084,No
2238713,GE,GTW810S*J***,,8,Top Load,,Residential,5.1,2.76,1.29,152,3.5,8.4,5245,No,,,,Yes,"ES_1123206_GTD81ES*J***_05042015175301_1981609, ES_1123206_GTD81GS*J***_05042015175359_2039033",4/20/2015,4/30/2015,United States,ES_1123206_GTW810S*J***_04302015180548_7148523,No
2238714,GE,GTW860S*J***,,8,Top Load,,Residential,5.1,2.76,1.29,152,3.5,8.4,5245,No,,,,Yes,"ES_1123206_GTD86ES*J***_04172015164445_9085180, ES_1123206_GTD86GS*J***_05042015175141_1901305",4/20/2015,4/30/2015,United States,ES_1123206_GTW860S*J***_04302015175921_6761983,No
2234435,GE,WCVH4800****,,84691191063,Front Load,,Residential,2.2,2.1,1.84,99,4.1,4.7,2685,No,,,,No,,4/1/2015,3/5/2015,"United States, Canada",ES_1123206_WCVH4800****_03062015103533_70025761,No
2235752,GE,WCVH4800K***,,8,Front Load,"Gentle Cycle,Delayed Start,Hand Wash Cycle",Residential,2.2,2.1,1.84,99,4.1,4.7,2685,No,,,,No,,3/13/2015,3/10/2015,United States,ES_1123206_WCVH4800K***_03122015165310_9190332,No
2234347,Haier,HLTW500AXW,,6.88E+11,Top Load,,Residential,3.4,2.07,1.29,108,4,8.4,4012,No,,,,No,,2/28/2015,1/16/2015,"United States, Canada",ES_1105786_HLTW500AXW_01172015031200_70019652,No
2242767,Haier,HLTW600AXW,,1.41E+15,Top Load,,Residential,4.1,2.1,1.29,110,3.9,8.4,4694,No,,,,No,,6/5/2015,6/24/2015,"United States, Canada",ES_0031566_HLTW600AXW_05252015110249_70033212,No
2234520,Huebsch,YFNE5BJP113+,,1,Front Load,Gentle Cycle,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,3/11/2015,"United States, Canada",ES_0087091_YFNE5BJP113+_03112015034725_2751396,No
2234508,Huebsch,YFNE5RSP113+,,1,Front Load,Gentle Cycle,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,3/11/2015,"United States, Canada",ES_0087091_YFNE5RSP113+_03112015034725_2751396,No
2216983,Huebsch,YTEE5ASP173+,,1,Front Load,Delayed Start,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,7/30/2014,"United States, Canada",ES_0087091_YTEE5ASP173+_08012014052210_2751396,No
2234510,Huebsch,YTEE5ASP283+,,1,Front Load,Gentle Cycle,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,3/11/2015,"United States, Canada",ES_0087091_YTEE5ASP283+_03112015034725_2751396,No
2234511,Huebsch,YTGE5ASP093+,,1,Front Load,Gentle Cycle,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,3/11/2015,"United States, Canada",ES_0087091_YTGE5ASP093+_03112015034725_2751396,No
2234509,Huebsch,YTGE5ASP113+,,1,Front Load,Gentle Cycle,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,3/11/2015,"United States, Canada",ES_0087091_YTGE5ASP113+_03112015034725_2751396,No
2234512,Huebsch,ZFNE9BSP113+,,1,Front Load,Gentle Cycle,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,3/11/2015,"United States, Canada",ES_0087091_ZFNE9BSP113+_03112015034725_2751396,No
2305859,Insignia,NS-TWM48WH8B,,6.01E+11,Top Load,None,Residential,4.8,,1.29,92,4.3,8.4,6025,No,,,,No,,10/12/2017,10/12/2017,"United States, Canada",ES_1059185_NS-TWM48WH8B_10242017075052_1452177,No
2216972,IPSO,BFNE6BJP113+,,1,Front Load,Delayed Start,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,7/30/2014,"United States, Canada",ES_0087091_BFNE6BJP113+_08012014052210_2751396,No
2216979,IPSO,BTEE6ASP173+,,1,Front Load,Delayed Start,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,7/30/2014,"United States, Canada",ES_0087091_BTEE6ASP173+_08012014052210_2751396,No
2234514,IPSO,BTEE6ASP283+,,1,Front Load,Gentle Cycle,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,3/11/2015,"United States, Canada",ES_0087091_BTEE6ASP283+_03112015034725_2751396,No
2234515,IPSO,BTGE6ASP093+,,1,Front Load,Gentle Cycle,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,3/11/2015,"United States, Canada",ES_0087091_BTGE6ASP093+_03112015034725_2751396,No
2234513,IPSO,BTGE6ASP113+,,1,Front Load,Gentle Cycle,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,3/11/2015,"United States, Canada",ES_0087091_BTGE6ASP113+_03112015034725_2751396,No
2298589,Kenmore,2613*41+,,8.83E+11,Top Load,,Residential,4.8,2.06,1.29,169,4.3,8.4,6076,No,,,,No,,6/1/2016,4/25/2016,"United States, Canada",ES_22856_2613*41+_06272017013450_7290057,No
2298590,Kenmore,2713*41+,,8.83E+11,Top Load,,Residential,4.8,2.06,1.29,169,4.3,8.4,6076,No,,,,No,,6/1/2016,4/25/2016,"United States, Canada",ES_22856_2713*41+_06272017013801_7481563,No
2298591,Kenmore,2813*41+,,8.83E+11,Top Load,,Residential,5.3,2.06,1.29,195,4.3,8.4,6698,No,,,,Yes,68132410,6/1/2016,4/25/2016,"United States, Canada",ES_22856_2813*41+_06272017014116_7676091,No
2298592,Kenmore,2913*41+,,8.83E+11,Top Load,,Residential,5.3,2.06,1.29,195,4.3,8.4,6698,No,,,,Yes,69132410,6/1/2016,4/25/2016,"United States, Canada",ES_22856_2913*41+_06272017014452_7892363,No
2237549,Kenmore,3142#,,1,Top Load,,Residential,4.9,2.76,1.29,113,3.5,8.4,5059,No,,,,No,,4/20/2015,3/31/2015,"United States, Canada",ES_1118034_3142#41#_04212015061000_70028522,No
2237548,Kenmore,3146#,,1,Top Load,,Residential,5,2.38,1.29,135,3.7,8.4,5458,No,,,,No,,4/20/2015,3/31/2015,"United States, Canada",ES_1118034_3146#41#_04212015061000_70028522,No
2269195,Kenmore,3155#,,1,Top Load,,Residential,5.2,2.38,1.29,130,3.7,8.4,5643,No,,,,No,,6/24/2016,6/1/2016,"United States, Canada",ES_15649_3155#_06072016120532_70082041,No
2298593,Kenmore,3163*61*,,8.83E+11,Top Load,Delayed Start,Residential,6.2,2.06,1.29,271,4.3,8.4,7827,No,,,,Yes," 7163*61*,6163*61*",6/1/2016,4/25/2016,"United States, Canada",ES_22856_3163*61*_06272017015026_8226044,No
2232893,Kenmore,4107#,,1,Front Load,,Residential,5.2,2.92,1.84,120,3.2,4.7,4880,No,,,,No,,5/20/2016,5/20/2016,"United States, Canada",ES_1118034_4107####_02092015025017_70022701,Yes
2217705,Kenmore,4116#,,1,Front Load,,Residential,4.3,2.85,1.84,90,2.9,4.7,3662,No,,,,No,,8/30/2014,8/20/2014,"United States, Canada",ES_0015649_4116####_08202014020154_2753782,Yes
2259878,Kenmore,4126#,,1,Front Load,,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,No,,,,No,,2/9/2016,2/2/2016,"United States, Canada",ES_00156490_4126#02092016030815_70061981,Yes
2270240,Kenmore,4130#,,1,Front Load,,Residential,4.5,2.82,1.84,105,2.9,4.7,3841,No,,,,No,,7/3/2016,6/15/2014,"United States, Canada",ES_1118034_4130#_06212016044711_70083225,Yes
2274053,Kenmore,4130#,,1,Front Load,,Residential,4.5,2.92,1.84,105,3.2,4.7,4248,No,,,,No,,7/22/2016,8/2/2016,"United States, Canada",ES_15649_4130#_08032016031832_70091421,Yes
2217704,Kenmore,4138#,,1,Front Load,,Residential,4.3,2.76,1.84,100,3.2,4.7,4040,No,,,,No,N/A,8/30/2014,4/13/2016,"United States, Canada",ES_0015649_4138#41#_08202014020154_2753782,Yes
2259877,Kenmore,4139#,,1,Front Load,,Residential,4.5,2.83,1.84,90,3.2,4.7,4239,No,,,,No,,2/9/2016,2/2/2016,"United States, Canada",ES_0015649_4139#02092016030815_70061981,Yes
2274060,Kenmore,4139#,,1,Front Load,,Residential,4.5,2.92,1.84,90,3.2,4.7,4239,No,,,,No,,7/28/2016,8/2/2016,"United States, Canada",ES_15649_4139#_08032016031832_70091421,Yes
2217708,Kenmore,4148#,,1,Front Load,,Residential,4.5,2.83,1.84,90,3.2,4.7,4239,No,,,,No,N/A,8/30/2014,4/13/2016,"United States, Canada",ES_0015649_4148####_08202014020154_2753782,Yes
2217703,Kenmore,4158#,,1,Front Load,,Residential,4.5,2.83,1.84,105,2.9,4.7,3841,No,,,,No,,8/30/2014,8/20/2014,"United States, Canada",ES_0015649_4158####_08202014020154_2753782,Yes
2274056,Kenmore,4158#,,1,Front Load,,Residential,4.5,2.92,1.84,105,3.2,4.7,4239,No,,,,No,,3/1/2015,8/2/2016,"United States, Canada",ES_1118034_4158#_08032016031832_70091421,Yes
