ES_ID,Brand_Name,Model_Number,Additional_Model_Information,UPC,Load_Configuration,Additional_Washer_Features,Intended_Market,Volume_CubicFeet,Integrated_Modified_Energy_Factor,US_Federal_IMEF_Standard,Estimated_Annual_Energy_Use,Integrated_Water_Factor (IWF),US_Federal_IWF_Standard,Annual_Water_Use,Connected,Connects_Using,R,S,Paired_Dryer,U,Date_Available,Date_Certified,Markets,CB_Model_Identifier,Meets_ENERGY_STAR_Most_Efficient_2017_Criteria
2234517,Unimac,UTEE5ASP283+,,1,Front Load,Gentle Cycle,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,3/11/2015,"United States, Canada",ES_0087091_UTEE5ASP283+_03112015034725_2751396,No
2234516,Unimac,UTGE5ASP113+,,1,Front Load,Gentle Cycle,Residential,3.4,2.38,1.84,68,3.7,4.7,3733,No,,,,No,,7/24/2014,3/11/2015,"United States, Canada",ES_0087091_UTGE5ASP113+_03112015034725_2751396,No
2265429,Whirlpool,WFL98HEB**,,8,Front Load,,Residential,4.3,2.38,1.84,128,3.7,4.7,4726,Yes,Wi-Fi,Other,No,No,,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFL98HEB**_04262016211443_5283488,No
2276477,Whirlpool,WFW3090G**,,8,Front Load,Delayed Start,Residential,2,2.38,1.84,38,3.7,4.7,2150,No,,,,Yes,WHD3090GW0,7/18/2016,8/25/2016,"United States, Canada",ES_22856_WFW3090G**_08252016203207_7127465,No
2276541,Whirlpool,WFW5090G**,,8,Front Load,Hand Wash Cycle,Residential,2.3,2.38,1.84,51,3.7,4.7,2510,No,,,,Yes,WHD5090GW0,9/12/2016,8/26/2016,"United States, Canada",ES_22856_WFW5090G**_08262016172614_2374356,No
2265430,Whirlpool,WFW61HEB**,,8,Front Load,Delayed Start,Residential,3.6,2.38,1.84,72,3.7,4.7,3929,No,,,,No,,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFW61HEB**_04262016211848_5528987,No
2265431,Whirlpool,WFW72HED*+,,8,Front Load,Delayed Start,Residential,4.2,2.75,1.84,109,3.2,4.7,3936,No,,,,Yes,WED72HEDW0,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFW72HED*+_04262016212205_5725633,No
2265442,Whirlpool,WFW7540F**,,8.83E+11,Front Load,Delayed Start,Residential,4.5,2.92,1.84,88,3.2,4.7,4210,No,,,,Yes,WED7540FW0,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFW7540F**_04262016220902_8542656,Yes
2265438,Whirlpool,WFW7590F**,,8.83E+11,Front Load,Delayed Start,Residential,4.2,2.92,1.84,87,3.2,4.7,3936,No,,,,Yes,WED7590FW0,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFW7590F**_04262016215255_7575072,Yes
2265441,Whirlpool,WFW75HEF**,,8.83E+11,Front Load,Delayed Start,Residential,4.5,2.92,1.84,88,3.2,4.7,4210,No,,,,Yes,WED75HEFW0,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFW75HEF**_04262016220643_8403204,Yes
