ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Cooling_Capacity_BTUperHour,Type,Reverse_Cycle,Casement_Window,Energy_Efficiency_Ratio,Combined_Energy_Efficiency_Ratio,Date_Available,Date_Certified,Markets,CB_Model_Identifier
2303496,Toshiba,RAC-WK1511ESCRU,,15100,Window,No,None,,11.8,9/11/2017,9/11/2017,United States,ES_1138537_RAC-WK1511ESCRU_09122017082019_4419283
2303495,Toshiba,RAC-WK1821ESCRU,,18000,Window,No,None,,11.8,9/11/2017,9/11/2017,United States,ES_1138537_RAC-WK1821ESCRU_09122017082032_4432210
2265983,Whirlpool,WHAW061AW,,6000,Window,No,None,,12.1,3/5/2015,5/2/2016,United States,ES_1055302_WHAW061AW_05032016065400_8440815
2286522,Whirlpool,WHAW061BW,,6000,Window,No,None,,12.1,12/18/2016,12/16/2016,United States,ES_1055302_WHAW061BW_12192016123135_0695195
2286526,Whirlpool,WHAW081BW,,8000,Window,No,None,,12,12/18/2016,12/16/2016,United States,ES_1055302_WHAW081BW_12192016123148_0708086
2286532,Whirlpool,WHAW101BW,,10000,Window,No,None,,12,12/18/2016,12/16/2016,United States,ES_1055302_WHAW101BW_12192016123159_0719219
2286531,Whirlpool,WHAW121BW,,12000,Window,No,None,,12,12/18/2016,12/16/2016,United States,ES_1055302_WHAW121BW_12192016123217_0737613
2286530,Whirlpool,WHAW151BW,,15000,Window,No,None,,11.8,12/18/2016,12/16/2016,United States,ES_1055302_WHAW151BW_12192016123230_0750199
2286529,Whirlpool,WHAW182BW,,18000,Window,No,None,,11.8,12/18/2016,12/16/2016,United States,ES_1055302_WHAW182BW_12192016123242_0762243
2286528,Whirlpool,WHAW222BW,,22000,Window,No,None,,10.3,12/18/2016,12/16/2016,United States,ES_1055302_WHAW222BW_12192016123253_0773720
2286527,Whirlpool,WHAW242BW,,24000,Window,No,None,,10.3,12/18/2016,12/16/2016,United States,ES_1055302_WHAW242BW_12192016123304_0784869
